# $Id$
# PcbXY Version 1.0
# Date: Wed Jan 28 23:52:37 2009 UTC
# Author: Luke Orland
# Title: bien sucia - PCB X-Y
# RefDes, Description, Value, X, Y, rotation, top/bottom
# X,Y in mils.  rotation in degrees.
# --------------------------------------------
(unknown),"pin.fp","unknown",300.00,4300.00,0,top
(unknown),"pin.fp","unknown",900.00,4300.00,0,top
(unknown),"pin.fp","unknown",800.00,4300.00,0,top
(unknown),"pin.fp","unknown",700.00,4300.00,0,top
(unknown),"pin.fp","unknown",600.00,4300.00,0,top
(unknown),"pin.fp","unknown",1000.00,4300.00,0,top
(unknown),"pin.fp","unknown",1100.00,4300.00,0,top
(unknown),"pin.fp","unknown",400.00,4200.00,0,top
(unknown),"pin.fp","unknown",500.00,4200.00,0,top
(unknown),"pin.fp","unknown",300.00,4200.00,0,top
(unknown),"pin.fp","unknown",900.00,4200.00,0,top
(unknown),"pin.fp","unknown",800.00,4200.00,0,top
(unknown),"pin.fp","unknown",700.00,4200.00,0,top
(unknown),"pin.fp","unknown",600.00,4200.00,0,top
(unknown),"pin.fp","unknown",1000.00,4200.00,0,top
(unknown),"pin.fp","unknown",1100.00,4200.00,0,top
(unknown),"pin.fp","unknown",400.00,4100.00,0,top
(unknown),"pin.fp","unknown",500.00,4100.00,0,top
(unknown),"pin.fp","unknown",300.00,4100.00,0,top
(unknown),"pin.fp","unknown",900.00,4100.00,0,top
(unknown),"pin.fp","unknown",800.00,4100.00,0,top
(unknown),"pin.fp","unknown",700.00,4100.00,0,top
(unknown),"pin.fp","unknown",600.00,4100.00,0,top
(unknown),"pin.fp","unknown",1000.00,4100.00,0,top
(unknown),"pin.fp","unknown",1100.00,4100.00,0,top
(unknown),"pin.fp","unknown",400.00,4000.00,0,top
(unknown),"pin.fp","unknown",500.00,4000.00,0,top
(unknown),"pin.fp","unknown",300.00,4000.00,0,top
(unknown),"pin.fp","unknown",900.00,4000.00,0,top
(unknown),"pin.fp","unknown",800.00,4000.00,0,top
(unknown),"pin.fp","unknown",700.00,4000.00,0,top
(unknown),"pin.fp","unknown",600.00,4000.00,0,top
(unknown),"pin.fp","unknown",1000.00,4000.00,0,top
(unknown),"pin.fp","unknown",1100.00,4000.00,0,top
(unknown),"pin.fp","unknown",400.00,3900.00,0,top
(unknown),"pin.fp","unknown",500.00,3900.00,0,top
(unknown),"pin.fp","unknown",300.00,3900.00,0,top
(unknown),"pin.fp","unknown",900.00,3900.00,0,top
(unknown),"pin.fp","unknown",800.00,3900.00,0,top
(unknown),"pin.fp","unknown",700.00,3900.00,0,top
(unknown),"pin.fp","unknown",600.00,3900.00,0,top
(unknown),"pin.fp","unknown",1000.00,3900.00,0,top
(unknown),"pin.fp","unknown",1100.00,3900.00,0,top
(unknown),"pin.fp","unknown",400.00,3800.00,0,top
(unknown),"pin.fp","unknown",500.00,3800.00,0,top
(unknown),"pin.fp","unknown",300.00,3800.00,0,top
(unknown),"pin.fp","unknown",900.00,3800.00,0,top
(unknown),"pin.fp","unknown",800.00,3800.00,0,top
(unknown),"pin.fp","unknown",700.00,3800.00,0,top
(unknown),"pin.fp","unknown",600.00,3800.00,0,top
(unknown),"pin.fp","unknown",1000.00,3800.00,0,top
(unknown),"pin.fp","unknown",1100.00,3800.00,0,top
(unknown),"pin.fp","unknown",400.00,3600.00,0,top
(unknown),"pin.fp","unknown",500.00,3600.00,0,top
(unknown),"pin.fp","unknown",300.00,3600.00,0,top
(unknown),"pin.fp","unknown",900.00,3600.00,0,top
(unknown),"pin.fp","unknown",800.00,3600.00,0,top
(unknown),"pin.fp","unknown",700.00,3600.00,0,top
(unknown),"pin.fp","unknown",600.00,3600.00,0,top
(unknown),"pin.fp","unknown",1000.00,3600.00,0,top
(unknown),"pin.fp","unknown",1100.00,3600.00,0,top
(unknown),"pin.fp","unknown",400.00,3500.00,0,top
(unknown),"pin.fp","unknown",500.00,3500.00,0,top
(unknown),"pin.fp","unknown",300.00,3500.00,0,top
(unknown),"pin.fp","unknown",900.00,3500.00,0,top
(unknown),"pin.fp","unknown",800.00,3500.00,0,top
(unknown),"pin.fp","unknown",700.00,3500.00,0,top
(unknown),"pin.fp","unknown",600.00,3500.00,0,top
(unknown),"pin.fp","unknown",1000.00,3500.00,0,top
(unknown),"pin.fp","unknown",1100.00,3500.00,0,top
(unknown),"pin.fp","unknown",400.00,3400.00,0,top
(unknown),"pin.fp","unknown",500.00,3400.00,0,top
(unknown),"pin.fp","unknown",300.00,3400.00,0,top
(unknown),"pin.fp","unknown",900.00,3400.00,0,top
(unknown),"pin.fp","unknown",800.00,3400.00,0,top
(unknown),"pin.fp","unknown",700.00,3400.00,0,top
(unknown),"pin.fp","unknown",600.00,3400.00,0,top
(unknown),"pin.fp","unknown",1000.00,3400.00,0,top
(unknown),"pin.fp","unknown",1100.00,3400.00,0,top
(unknown),"pin.fp","unknown",400.00,3300.00,0,top
(unknown),"pin.fp","unknown",500.00,3300.00,0,top
(unknown),"pin.fp","unknown",300.00,3300.00,0,top
(unknown),"pin.fp","unknown",900.00,3300.00,0,top
(unknown),"pin.fp","unknown",800.00,3300.00,0,top
(unknown),"pin.fp","unknown",700.00,3300.00,0,top
(unknown),"pin.fp","unknown",600.00,3300.00,0,top
(unknown),"pin.fp","unknown",1000.00,3300.00,0,top
(unknown),"pin.fp","unknown",1100.00,3300.00,0,top
(unknown),"pin.fp","unknown",400.00,3200.00,0,top
(unknown),"pin.fp","unknown",500.00,3200.00,0,top
(unknown),"pin.fp","unknown",300.00,3200.00,0,top
(unknown),"pin.fp","unknown",900.00,3200.00,0,top
(unknown),"pin.fp","unknown",800.00,3200.00,0,top
(unknown),"pin.fp","unknown",700.00,3200.00,0,top
(unknown),"pin.fp","unknown",600.00,3200.00,0,top
(unknown),"pin.fp","unknown",1000.00,3200.00,0,top
(unknown),"pin.fp","unknown",1100.00,3200.00,0,top
(unknown),"pin.fp","unknown",400.00,3100.00,0,top
(unknown),"pin.fp","unknown",500.00,3100.00,0,top
(unknown),"pin.fp","unknown",300.00,3100.00,0,top
(unknown),"pin.fp","unknown",900.00,3100.00,0,top
(unknown),"pin.fp","unknown",800.00,3100.00,0,top
(unknown),"pin.fp","unknown",700.00,3100.00,0,top
(unknown),"pin.fp","unknown",600.00,3100.00,0,top
(unknown),"pin.fp","unknown",1000.00,3100.00,0,top
(unknown),"pin.fp","unknown",1100.00,3100.00,0,top
(unknown),"pin.fp","unknown",400.00,3000.00,0,top
(unknown),"pin.fp","unknown",500.00,3000.00,0,top
(unknown),"pin.fp","unknown",300.00,3000.00,0,top
(unknown),"pin.fp","unknown",900.00,3000.00,0,top
(unknown),"pin.fp","unknown",800.00,3000.00,0,top
(unknown),"pin.fp","unknown",700.00,3000.00,0,top
(unknown),"pin.fp","unknown",600.00,3000.00,0,top
(unknown),"pin.fp","unknown",1000.00,3000.00,0,top
(unknown),"pin.fp","unknown",1100.00,3000.00,0,top
(unknown),"pin.fp","unknown",400.00,2900.00,0,top
(unknown),"pin.fp","unknown",500.00,2900.00,0,top
(unknown),"pin.fp","unknown",300.00,2900.00,0,top
(unknown),"pin.fp","unknown",900.00,2900.00,0,top
(unknown),"pin.fp","unknown",800.00,2900.00,0,top
(unknown),"pin.fp","unknown",700.00,2900.00,0,top
(unknown),"pin.fp","unknown",600.00,2900.00,0,top
(unknown),"pin.fp","unknown",1000.00,2900.00,0,top
(unknown),"pin.fp","unknown",1100.00,2900.00,0,top
(unknown),"pin.fp","unknown",2800.00,4800.00,0,top
(unknown),"pin.fp","unknown",2900.00,4800.00,0,top
(unknown),"pin.fp","unknown",2700.00,4700.00,0,top
(unknown),"pin.fp","unknown",2800.00,4700.00,0,top
(unknown),"pin.fp","unknown",2900.00,4700.00,0,top
(unknown),"pin.fp","unknown",2700.00,4600.00,0,top
(unknown),"pin.fp","unknown",2800.00,4600.00,0,top
(unknown),"pin.fp","unknown",2900.00,4600.00,0,top
(unknown),"pin.fp","unknown",2700.00,3700.00,0,top
(unknown),"pin.fp","unknown",2800.00,3700.00,0,top
(unknown),"pin.fp","unknown",2900.00,3700.00,0,top
(unknown),"pin.fp","unknown",2700.00,4500.00,0,top
(unknown),"pin.fp","unknown",2800.00,4500.00,0,top
(unknown),"pin.fp","unknown",2900.00,4500.00,0,top
(unknown),"pin.fp","unknown",2700.00,4400.00,0,top
